,area,area_sqft,bedrooms,bathrooms,total_price
91,KK Nagar,2170,3.0,2.0,13250584
92,Chrompet,969,1.0,1.0,11732447
93,KK Nagar,1546,2.0,1.0,14825026
94,KK Nagar,1709,2.0,1.0,10861682
95,T Nagar,1659,1.0,1.0,14188956
96,Chrompet,755,1.0,1.0,11060310
97,Adyar,1182,1.0,1.0,10281471
98,Adyar,735,1.0,1.0,9895773
99,Chrompet,1089,1.0,1.0,9330756
100,Velachery,1534,2.0,1.0,8251996
101,Anna Nagar,1622,1.0,1.0,13651305
102,KK Nagar,2198,3.0,2.0,14386494
103,Chrompet,1293,2.0,1.0,13693157
104,KK Nagar,1641,2.0,1.0,10663419
105,Velachery,1950,3.0,2.0,12602262
106,Karapakkam,1245,1.0,1.0,5233151
107,Chrompet,905,1.0,1.0,8003625
108,KK Nagar,1496,2.0,1.0,8971826
109,Velachery,1892,3.0,2.0,12729658
110,Velachery,1517,2.0,1.0,12196843
111,Adyar,1034,1.0,1.0,9580726
112,Velachery,1755,2.0,1.0,15691527
113,Anna Nagar,1622,1.0,1.0,14198084
114,Chrompet,1092,1.0,1.0,8516922
115,Chrompet,821,1.0,1.0,7552336
116,KK Nagar,1694,2.0,1.0,10858491
117,Anna Nagar,1809,2.0,1.0,19955937
118,Karapakkam,1401,2.0,2.0,10633056
119,Karapakkam,1470,2.0,2.0,7682662
120,Chrompet,798,1.0,1.0,9469654
121,Chrompet,764,1.0,1.0,5919689
122,Chrompet,1135,1.0,1.0,9697353
123,Karapakkam,939,1.0,1.0,4547346
124,Karapakkam,1586,2.0,2.0,15103380
125,T Nagar,1973,2.0,1.0,24309201
126,Chrompet,1023,1.0,1.0,10056410
127,Chrompet,884,1.0,1.0,11665156
128,Anna Nagar,1640,1.0,1.0,18391963
129,Adyar,622,1.0,1.0,6862108
130,Anna Nagar,1880,2.0,1.0,14121017
131,KK Nagar,2413,4.0,2.0,13712532
132,T Nagar,1649,1.0,1.0,19734543
133,Velachery,1729,2.0,1.0,13328517
134,T Nagar,1942,2.0,1.0,12712993
135,Chrompet,711,1.0,1.0,8364230
136,Chrompet,885,1.0,1.0,7539941
137,KK Nagar,1688,2.0,1.0,12245828
138,Adyar,1236,2.0,2.0,12540840
139,Karapakkam,926,1.0,1.0,7234604
140,KK Nagar,1686,2.0,1.0,10925799
141,Karapakkam,1344,2.0,2.0,11522927
142,KK Nagar,1437,2.0,1.0,10792235
143,Karapakkam,1430,2.0,2.0,6980809
144,Adyar,1081,1.0,1.0,6437756
145,Karapakkam,1352,2.0,2.0,6871656
146,KK Nagar,1986,3.0,2.0,12054125
147,Anna Nagar,1758,1.0,1.0,20230531
148,Karapakkam,607,1.0,1.0,6149457
149,KK Nagar,2139,3.0,2.0,13145488
150,KK Nagar,1488,2.0,1.0,9049717
151,Velachery,1645,2.0,1.0,7905231
152,Chrompet,950,1.0,1.0,10178637
153,Chrompet,928,1.0,1.0,12895904
154,Velachery,1693,2.0,1.0,16208565
155,Velachery,1873,3.0,2.0,11584406
156,Adyar,721,1.0,1.0,7940194
157,Karapakkam,1190,1.0,1.0,8437847
158,KK Nagar,1593,2.0,1.0,9573076
159,Chrompet,786,1.0,1.0,9577633
160,Chrompet,1195,1.0,1.0,10116248
161,Velachery,1824,3.0,2.0,8899572
162,KK Nagar,1906,3.0,2.0,16851463
163,Adyar,656,1.0,1.0,9151728
164,Chrompet,727,1.0,1.0,8735798
165,Adyar,931,1.0,1.0,10323083
166,Velachery,1898,3.0,2.0,17531842
167,Anna Nagar,1698,1.0,1.0,12970592
168,T Nagar,1926,2.0,1.0,23467870
169,Karapakkam,1481,2.0,2.0,10564901
170,Anna Nagar,1506,1.0,1.0,11045554
171,Chrompet,1020,1.0,1.0,8187058
172,Chrompet,889,1.0,1.0,9535416
173,Chrompet,1015,1.0,1.0,8684907
174,T Nagar,1682,1.0,1.0,19464831
176,Karapakkam,1445,2.0,2.0,6161039
177,Anna Nagar,1919,2.0,1.0,15365847
178,Adyar,1243,2.0,2.0,13828056
179,Karapakkam,857,1.0,1.0,5223945
180,Karapakkam,1055,1.0,1.0,7658936
181,KK Nagar,1778,3.0,2.0,11493244
182,Karapakkam,851,1.0,1.0,4156812
183,Chrompet,1021,1.0,1.0,9625051
184,KK Nagar,2203,3.0,2.0,18803694
185,Karapakkam,613,1.0,1.0,5406870
186,Adyar,738,1.0,1.0,8645177
187,Karapakkam,1489,2.0,2.0,8591779
188,Karapakkam,795,1.0,1.0,8860817
189,Velachery,1909,3.0,2.0,10645747
190,Chrompet,1252,2.0,1.0,9795113
191,Karapakkam,1077,1.0,1.0,10398168
192,KK Nagar,1524,2.0,1.0,9187694
193,Chrompet,1049,1.0,1.0,10724260
194,Velachery,1780,2.0,1.0,9130616
195,Chrompet,946,1.0,1.0,11645669
196,Chrompet,906,1.0,1.0,9796068
197,KK Nagar,2344,4.0,2.0,19943173
198,Adyar,929,1.0,1.0,9897563
199,Anna Nagar,1843,2.0,1.0,12730811
200,Anna Nagar,1918,2.0,1.0,22903178
201,KK Nagar,1507,2.0,1.0,14418587
202,KK Nagar,1499,2.0,1.0,9435528
203,KK Nagar,1526,2.0,1.0,14491033
204,Anna Nagar,1855,2.0,1.0,22025014
205,Karapakkam,1627,2.0,2.0,9479325
206,Velachery,1846,3.0,2.0,11324174
207,KK Nagar,2019,3.0,2.0,13634663
208,Karapakkam,1578,2.0,2.0,10066321
209,Velachery,1780,2.0,1.0,13973995
210,Karapakkam,662,1.0,1.0,4565613
211,Chrompet,1005,1.0,1.0,12796413
212,Karapakkam,839,1.0,1.0,4342430
213,Anna Nagar,1698,1.0,1.0,12011582
214,Adyar,878,1.0,1.0,6685085
215,Chrompet,835,1.0,1.0,8696227
216,Chrompet,911,1.0,1.0,7710077
217,Velachery,1796,2.0,1.0,9542407
218,Karapakkam,1004,1.0,1.0,4990626
219,Anna Nagar,1694,1.0,1.0,13166035
220,Karapakkam,1244,1.0,1.0,8342435
221,Karapakkam,588,1.0,1.0,5990775
222,KK Nagar,2342,4.0,2.0,13646867
223,Velachery,1835,3.0,2.0,11323045
224,Anna Nagar,1977,2.0,1.0,14737593
225,KK Nagar,1961,3.0,2.0,18792965
226,Velachery,1517,2.0,1.0,7489941
227,KK Nagar,2409,4.0,2.0,14325499
228,Velachery,1864,3.0,2.0,15810287
229,Velachery,1643,2.0,1.0,16425768
230,Adyar,1015,1.0,1.0,11707278
231,Anna Nagar,1700,1.0,1.0,13075938
232,Karapakkam,624,1.0,1.0,4690799
233,Chrompet,980,1.0,1.0,12412482
234,Karapakkam,1003,1.0,1.0,10624770
235,Adyar,1072,1.0,1.0,6905036
236,Karapakkam,808,1.0,1.0,5004120
237,Chrompet,1027,1.0,1.0,7701797
238,Karapakkam,696,1.0,1.0,6731106
239,Velachery,1716,2.0,1.0,10929652
240,Velachery,1878,3.0,2.0,15159786
241,KK Nagar,1699,2.0,1.0,12027749
242,KK Nagar,1626,2.0,1.0,10164294
243,KK Nagar,1730,2.0,1.0,15564764
244,Chrompet,996,1.0,1.0,9386601
246,Chrompet,906,1.0,1.0,10584531
247,Anna Nagar,1976,2.0,1.0,12779752
248,Velachery,1776,2.0,1.0,10398726
249,Karapakkam,1402,2.0,2.0,7335725
250,Chrompet,1160,1.0,1.0,9823528
251,Velachery,1957,3.0,2.0,15989821
252,T Nagar,1887,2.0,1.0,21421926
253,Velachery,1859,3.0,2.0,10361919
254,Chrompet,747,1.0,1.0,11717387
255,Adyar,985,1.0,1.0,7689444
256,Chrompet,1024,1.0,1.0,12502508
257,Velachery,1600,2.0,1.0,10940878
258,Chrompet,1276,2.0,1.0,10084326
259,Chrompet,1159,1.0,1.0,9425312
260,Karapakkam,1024,1.0,1.0,5009668
261,Adyar,1249,2.0,2.0,13236472
262,Chrompet,839,1.0,1.0,9435297
263,Chrompet,1286,2.0,1.0,9565199
264,KK Nagar,2467,4.0,2.0,13372022
265,Karapakkam,653,1.0,1.0,8093365
266,Karapakkam,606,1.0,1.0,8325240
267,T Nagar,1837,2.0,1.0,13791106
268,Velachery,1880,3.0,2.0,14216456
269,KK Nagar,2189,3.0,2.0,19253603
270,Velachery,1853,3.0,2.0,15575062
271,Chrompet,1057,1.0,1.0,9400896
272,Adyar,723,1.0,1.0,11441627
273,T Nagar,1812,2.0,1.0,12922315
274,T Nagar,1788,1.0,1.0,14808412
275,Velachery,1615,2.0,1.0,8436282
276,Anna Nagar,1755,1.0,1.0,11900953
277,Adyar,1296,2.0,2.0,10338673
278,KK Nagar,1554,2.0,1.0,10688922
279,Anna Nagar,1737,1.0,1.0,14893077
280,Karapakkam,785,1.0,1.0,6046272
281,Karapakkam,1678,2.0,2.0,12560595
282,KK Nagar,2360,4.0,2.0,21005151
283,KK Nagar,1464,2.0,1.0,9920740
284,KK Nagar,1632,2.0,1.0,11283896
285,Velachery,1755,2.0,1.0,9157147
286,Velachery,1556,2.0,1.0,9768764
287,Adyar,1170,1.0,1.0,9490994
288,Adyar,901,1.0,1.0,7994845
289,Karapakkam,1160,1.0,1.0,9534946
290,Karapakkam,1570,2.0,2.0,6778606
291,Karapakkam,1476,2.0,2.0,12239696
292,Karapakkam,586,1.0,1.0,5674312
293,Karapakkam,1059,1.0,1.0,8343753
294,T Nagar,1712,1.0,1.0,14432415
295,Adyar,847,1.0,1.0,7791992
296,Karapakkam,1192,1.0,1.0,5678812
297,Velachery,1942,3.0,2.0,17120558
298,Karapakkam,557,1.0,1.0,4988023
299,Velachery,1728,2.0,1.0,15643404
300,Velachery,1798,2.0,1.0,17776916
301,Karapakkam,1497,2.0,2.0,7319928
302,Chrompet,1173,1.0,1.0,8483274
303,Anna Nagar,1640,1.0,1.0,18519085
304,KK Nagar,1747,2.0,1.0,11323914
305,Karapakkam,1342,2.0,2.0,10093152
306,T Nagar,2000,2.0,1.0,14127168
307,Velachery,1987,3.0,2.0,11747605
308,Karapakkam,1567,2.0,2.0,8166250
309,Karapakkam,1188,1.0,1.0,10379212
310,Adyar,737,1.0,1.0,4047163
311,Karapakkam,785,1.0,1.0,6197930
312,KK Nagar,2078,3.0,2.0,10278629
313,Adyar,647,1.0,1.0,10024553
314,Karapakkam,1171,1.0,1.0,6493193
315,KK Nagar,2435,4.0,2.0,21461141
316,Velachery,1805,3.0,2.0,17810855
317,Karapakkam,1145,1.0,1.0,5857396
318,Karapakkam,971,1.0,1.0,6974574
319,Karapakkam,1657,2.0,2.0,10877718
320,Velachery,1638,2.0,1.0,10123254
321,Adyar,1284,2.0,2.0,16864527
322,Adyar,1273,2.0,2.0,7779564
323,Chrompet,1185,1.0,1.0,10539031
324,T Nagar,1538,1.0,1.0,20423305
325,KK Nagar,1929,3.0,2.0,10703027
326,KK Nagar,1656,2.0,1.0,11466516
327,Adyar,1287,2.0,2.0,15734279
328,T Nagar,1749,1.0,1.0,12240513
329,Anna Nagar,1585,1.0,1.0,17956422
330,T Nagar,1962,2.0,1.0,16497510
331,KK Nagar,1425,2.0,1.0,9050403
332,Karapakkam,884,1.0,1.0,8738038
333,Chrompet,1052,1.0,1.0,8291370
334,T Nagar,1756,1.0,1.0,12710342
335,Karapakkam,523,1.0,1.0,7803840
336,Velachery,1524,2.0,1.0,11672274
337,T Nagar,1949,2.0,1.0,15130317
338,Chrompet,1263,2.0,1.0,11041216
339,KK Nagar,1917,3.0,2.0,11664534
340,KK Nagar,1401,2.0,1.0,7928914
341,Chrompet,723,1.0,1.0,8965757
342,T Nagar,1660,1.0,1.0,18588188
343,Chrompet,895,1.0,1.0,8863855
344,Anna Nagar,1889,2.0,1.0,14311645
345,Chrompet,1199,1.0,1.0,9417077
346,Karapakkam,782,1.0,1.0,8246582
347,Anna Nagar,1571,1.0,1.0,13399659
348,KK Nagar,1848,3.0,2.0,16804511
349,Chrompet,1131,1.0,1.0,10503346
350,Karapakkam,1062,1.0,1.0,5618545
351,KK Nagar,1983,3.0,2.0,12866619
352,Velachery,1572,2.0,1.0,8516565
353,Anna Nagar,1535,1.0,1.0,11990068
354,T Nagar,1818,2.0,1.0,22861680
355,KK Nagar,1484,2.0,1.0,10298655
356,KK Nagar,2189,3.0,2.0,12796192
357,Chrompet,1203,2.0,1.0,13571827
358,KK Nagar,1610,2.0,1.0,16356891
359,Adyar,863,1.0,1.0,6895848
360,Karapakkam,985,1.0,1.0,7744750
361,Karapakkam,1623,2.0,2.0,12439620
362,Adyar,1019,1.0,1.0,6903319
363,Karapakkam,1575,2.0,2.0,10576954
364,Chrompet,802,1.0,1.0,8279261
365,T Nagar,1846,2.0,1.0,13023948
366,Chrompet,759,1.0,1.0,8458953
367,KK Nagar,2060,3.0,2.0,17069431
368,KK Nagar,1503,2.0,1.0,11843908
369,Velachery,1853,3.0,2.0,9840719
370,T Nagar,1739,1.0,1.0,21440036
371,Karapakkam,766,1.0,1.0,9131987
372,Chrompet,857,1.0,1.0,8878226
373,T Nagar,1887,2.0,1.0,13584064
374,Karapakkam,1502,2.0,2.0,8724596
375,Velachery,1568,2.0,1.0,6711751
376,Chrompet,918,1.0,1.0,11289967
377,Adyar,1289,2.0,2.0,15234515
378,KK Nagar,1941,3.0,2.0,12998811
379,Velachery,1730,2.0,1.0,11061108
380,Velachery,1513,2.0,1.0,12931120
381,Velachery,1762,2.0,1.0,9442995
382,Anna Nagar,1970,2.0,1.0,12924044
383,Velachery,1702,2.0,1.0,12910286
384,Velachery,1726,2.0,1.0,7144872
385,Chrompet,1243,2.0,1.0,16037480
386,Velachery,1550,2.0,1.0,13129341
387,KK Nagar,1830,3.0,2.0,17291017
388,Karapakkam,1435,2.0,2.0,10289679
389,Velachery,1729,2.0,1.0,11097459
390,T Nagar,1572,1.0,1.0,21730938
391,Chrompet,1145,1.0,1.0,14869088
392,Chrompet,1043,1.0,1.0,8608519
393,Karapakkam,1332,1.0,1.0,8748929
394,Karapakkam,608,1.0,1.0,6535181
395,Adyar,676,1.0,1.0,8736484
396,Velachery,1685,2.0,1.0,11637327
397,Adyar,658,1.0,1.0,6357660
398,Chrompet,1008,1.0,1.0,9189606
399,Anna Nagar,1924,2.0,1.0,14178461
400,KK Nagar,2112,3.0,2.0,17912656
401,Chrompet,917,1.0,1.0,12306099
402,Karapakkam,1353,2.0,2.0,8942552
403,Anna Nagar,1694,1.0,1.0,14757719
404,Anna Nagar,1625,1.0,1.0,19140335
405,Anna Nagar,1882,2.0,1.0,15573762
406,T Nagar,1924,2.0,1.0,22986067
407,Chrompet,894,1.0,1.0,11317696
408,Karapakkam,904,1.0,1.0,7213013
409,Adyar,1279,2.0,2.0,10292349
410,Velachery,1547,2.0,1.0,10635482
411,Karapakkam,626,1.0,1.0,5366970
412,T Nagar,1673,1.0,1.0,12739823
413,Chrompet,1296,2.0,1.0,11181402
414,KK Nagar,2194,3.0,2.0,17729823
415,KK Nagar,1678,2.0,1.0,14333356
416,Chrompet,702,1.0,1.0,8374237
417,Adyar,1067,1.0,1.0,8294742
418,Chrompet,980,1.0,1.0,12344939
419,KK Nagar,1989,3.0,2.0,12584880
420,Chrompet,1257,2.0,1.0,14312412
421,Chrompet,1069,1.0,1.0,10493571
422,Karapakkam,606,1.0,1.0,6912682
423,Karapakkam,1449,2.0,2.0,9419775
424,Karapakkam,1154,1.0,1.0,8187320
425,Adyar,927,1.0,1.0,13215576
426,Karapakkam,1613,2.0,2.0,10688276
427,Velachery,1851,3.0,2.0,12497260
428,Velachery,1511,2.0,1.0,10963454
429,KK Nagar,1765,2.0,1.0,9861858
430,Karapakkam,1238,1.0,1.0,12043525
431,Chrompet,934,1.0,1.0,8799343
432,Chrompet,754,1.0,1.0,8052561
433,T Nagar,1736,1.0,1.0,14605410
434,Chrompet,980,1.0,1.0,8949118
435,Karapakkam,1299,1.0,1.0,9852118
436,Karapakkam,849,1.0,1.0,5963657
437,KK Nagar,1450,2.0,1.0,10723169
438,T Nagar,1634,1.0,1.0,13354053
439,Karapakkam,1320,1.0,1.0,11580789
440,Chrompet,769,1.0,1.0,7501284
441,Karapakkam,1150,1.0,1.0,7275244
442,Chrompet,908,1.0,1.0,7773369
443,Karapakkam,1668,2.0,2.0,14292074
444,KK Nagar,1990,3.0,2.0,11120813
445,Anna Nagar,1857,2.0,1.0,13900376
446,KK Nagar,2061,3.0,2.0,18388162
447,KK Nagar,1668,2.0,1.0,10767832
448,KK Nagar,1444,2.0,1.0,9675482
449,Chrompet,1121,1.0,1.0,9389474
450,KK Nagar,1514,2.0,1.0,9556670
451,Chrompet,1256,2.0,1.0,10415859
452,Karapakkam,672,1.0,1.0,6165176
453,Adyar,908,1.0,1.0,13649903
454,Karapakkam,1631,2.0,2.0,9891468
455,Adyar,1001,1.0,1.0,11070976
456,Velachery,1618,2.0,1.0,12012500
457,KK Nagar,2340,4.0,2.0,13802781
458,Karapakkam,1159,1.0,1.0,6512453
459,Velachery,1775,2.0,1.0,11627306
460,Chrompet,1008,1.0,1.0,13183433
461,Velachery,1563,2.0,1.0,16385318
462,KK Nagar,1723,2.0,1.0,12031575
463,Velachery,1543,2.0,1.0,13532929
464,Chrompet,1231,2.0,1.0,10702820
465,T Nagar,1995,2.0,1.0,14664415
466,KK Nagar,2113,3.0,2.0,12999489
467,T Nagar,1849,2.0,1.0,23276726
468,Chrompet,1095,1.0,1.0,10401251
469,Karapakkam,1057,1.0,1.0,9271868
470,Karapakkam,841,1.0,1.0,6560764
471,Adyar,693,1.0,1.0,7223486
472,Anna Nagar,1666,1.0,1.0,12446949
473,T Nagar,1517,1.0,1.0,20689845
474,Anna Nagar,1854,2.0,1.0,20557014
475,Adyar,789,1.0,1.0,8527268
476,Chrompet,760,1.0,1.0,8538768
477,Chrompet,1137,1.0,1.0,9242304
478,Anna Nagar,1687,1.0,1.0,20531471
479,Karapakkam,984,1.0,1.0,5581084
480,Karapakkam,1662,2.0,2.0,13582205
481,Adyar,1065,1.0,1.0,9127102
482,KK Nagar,1621,2.0,1.0,10504036
483,Chrompet,703,1.0,1.0,8544671
484,Chrompet,1221,2.0,1.0,10324934
485,KK Nagar,1577,2.0,1.0,13967845
486,Chrompet,989,1.0,1.0,11038488
487,KK Nagar,1368,2.0,1.0,11514420
488,KK Nagar,2365,4.0,2.0,19513567
489,Anna Nagar,1525,1.0,1.0,18339520
490,Adyar,1180,1.0,1.0,9867465
491,Karapakkam,1122,1.0,1.0,7219934
492,Anna Nagar,1775,1.0,1.0,20409562
493,Anna Nagar,1877,2.0,1.0,13639348
494,Chrompet,760,1.0,1.0,8646740
495,KK Nagar,2297,4.0,2.0,12171304
496,Karapakkam,787,1.0,1.0,8326199
497,KK Nagar,2317,4.0,2.0,11226809
498,Karapakkam,749,1.0,1.0,5566158
499,Velachery,1616,2.0,1.0,10303530
500,Adyar,1284,2.0,2.0,10369969
501,Chrompet,756,1.0,1.0,10897224
502,Chrompet,1238,2.0,1.0,9710390
503,Chrompet,1236,2.0,1.0,9733183
504,T Nagar,1664,1.0,1.0,13888001
505,Anna Nagar,1537,1.0,1.0,19101819
506,Velachery,1731,2.0,1.0,14260443
507,Chrompet,929,1.0,1.0,9236974
508,Chrompet,786,1.0,1.0,8521418
509,Karapakkam,1370,2.0,2.0,9672765
510,Karapakkam,1685,2.0,2.0,7379652
511,T Nagar,1549,1.0,1.0,12691798
512,Anna Nagar,1539,1.0,1.0,19001228
513,Anna Nagar,1898,2.0,1.0,13916654
514,Chrompet,918,1.0,1.0,12209527
515,Chrompet,774,1.0,1.0,9395721
516,Chrompet,1072,1.0,1.0,12353708
517,Chrompet,1239,2.0,1.0,11229326
518,KK Nagar,1362,2.0,1.0,12754077
519,T Nagar,1785,1.0,1.0,14736537
520,KK Nagar,2181,3.0,2.0,12294256
521,KK Nagar,2033,3.0,2.0,13130224
522,Adyar,952,1.0,1.0,11132408
523,Chrompet,1066,1.0,1.0,12877532
524,Chrompet,1153,1.0,1.0,15067411
525,Velachery,1849,3.0,2.0,9933308
526,Karapakkam,1095,1.0,1.0,5784433
527,Adyar,1100,1.0,1.0,10632252
528,Adyar,1300,2.0,2.0,11494813
529,T Nagar,1806,2.0,1.0,12418314
530,Anna Nagar,1897,2.0,1.0,13280491
531,Chrompet,1121,1.0,1.0,8636148
532,Adyar,985,1.0,1.0,12368116
533,Velachery,1782,2.0,1.0,10736383
534,Anna Nagar,1582,1.0,1.0,17955530
535,Chrompet,1225,2.0,1.0,10028999
536,KK Nagar,1727,2.0,1.0,12352973
537,Velachery,1712,2.0,1.0,16578273
538,Adyar,1089,1.0,1.0,8997829
539,Velachery,1532,2.0,1.0,12104774
540,KK Nagar,1301,1.0,1.0,10256030
541,Adyar,812,1.0,1.0,6587571
542,Chrompet,863,1.0,1.0,8180996
543,Velachery,1686,2.0,1.0,10508728
544,Karapakkam,1332,1.0,1.0,11921131
545,Chrompet,969,1.0,1.0,14125509
546,Adyar,1300,2.0,2.0,9493169
547,Karapakkam,593,1.0,1.0,5125998
548,Chrompet,809,1.0,1.0,6823737
549,Karapakkam,1105,1.0,1.0,7946771
550,Karapakkam,542,1.0,1.0,3188283
551,Karapakkam,1608,2.0,2.0,9770644
552,KK Nagar,2271,4.0,2.0,18363695
553,KK Nagar,1915,3.0,2.0,10442812
554,KK Nagar,2152,3.0,2.0,17710210
555,Adyar,1068,1.0,1.0,7882774
556,Velachery,1810,3.0,2.0,9397550
557,Velachery,1939,3.0,2.0,10099999
558,Anna Nagar,1905,2.0,1.0,21271432
559,Chrompet,1057,1.0,1.0,8468249
560,Velachery,1920,3.0,2.0,17325651
561,T Nagar,1577,1.0,1.0,12556305
562,Karapakkam,787,1.0,1.0,5540483
563,T Nagar,1916,2.0,1.0,15318555
564,KK Nagar,1527,2.0,1.0,11360019
565,Chrompet,1248,2.0,1.0,10156374
566,Velachery,1555,2.0,1.0,9183132
567,KK Nagar,2323,4.0,2.0,18703806
568,Chrompet,961,1.0,1.0,9501844
569,Chrompet,849,1.0,1.0,9167491
570,Velachery,1938,3.0,2.0,15915142
571,Chrompet,1147,1.0,1.0,10619400
572,Anna Nagar,1976,2.0,1.0,23833612
573,Karapakkam,973,1.0,1.0,7326002
574,KK Nagar,1472,2.0,1.0,12197399
575,Anna Nagar,1689,1.0,1.0,13952607
576,Karapakkam,1208,1.0,1.0,12674496
577,Adyar,1268,2.0,2.0,11264923
578,T Nagar,1640,1.0,1.0,10839286
579,Adyar,635,1.0,1.0,5893894
580,Velachery,1996,3.0,2.0,11873211
581,KK Nagar,2404,4.0,2.0,11592651
582,Velachery,1675,2.0,1.0,13916210
583,Chrompet,797,1.0,1.0,7425843
584,Karapakkam,1256,1.0,1.0,5970294
585,T Nagar,1938,2.0,1.0,23423844
586,Chrompet,757,1.0,1.0,11952238
588,Karapakkam,878,1.0,1.0,10989711
589,Adyar,927,1.0,1.0,11379601
590,Velachery,1751,2.0,1.0,10886899
591,Chrompet,764,1.0,1.0,8849132
592,Velachery,1674,2.0,1.0,13831520
593,Velachery,1681,2.0,1.0,11262230
594,Anna Nagar,1976,2.0,1.0,22546933
595,Anna Nagar,1505,1.0,1.0,10015637
596,Karapakkam,888,1.0,1.0,6768948
597,Velachery,1680,2.0,1.0,7737173
598,Karapakkam,631,1.0,1.0,6896718
599,Chrompet,1227,2.0,1.0,11110971
600,Karapakkam,1124,1.0,1.0,8234267
601,Anna Nagar,1962,2.0,1.0,23302529
602,Chrompet,1261,2.0,1.0,10117032
603,Chrompet,1164,1.0,1.0,13669130
604,KK Nagar,1313,1.0,1.0,10073536
605,T Nagar,1723,1.0,1.0,20706016
606,Adyar,1144,1.0,1.0,15583010
607,Velachery,1740,2.0,1.0,17559459
608,Chrompet,1163,1.0,1.0,10911366
609,Chrompet,708,1.0,1.0,8117703
